ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,1563,13,1451,30,69
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,2077,45,1904,51,77
3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,1315,16,1219,23,57
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,1548,34,1406,37,71
3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,1340,25,1241,32,42
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,1988,42,1838,40,68
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,2523,35,2344,49,95
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,1495,51,1347,25,72
3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,2823,45,2577,55,146
3175041003,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,DUKUH,1150,14,1061,16,59
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,3071,59,2856,55,101
3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,1255,12,1139,22,82
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,2264,105,2038,36,85
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,2651,100,2408,38,105
3171011006,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,850,24,757,17,52
3173041011,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,386,11,351,9,15
3173041003,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,623,17,560,15,31
3171081003,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,581,19,521,18,23
3171011001,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,752,90,643,9,10
3174061004,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,974,10,897,15,52
3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,1902,25,1772,33,72
3175051001,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,1764,31,1613,37,83
3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,308,5,288,5,10
3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,402,24,342,11,25
3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,369,8,343,4,14
3173021001,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1250,29,1136,24,61
3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,1611,25,1498,31,57
3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,1751,101,1549,41,60
3174021007,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,228,4,214,3,7
3174071002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,1272,38,1172,16,46
3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,1072,21,984,18,49
